Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,Status
h16orac-orange-peel-cut-1oz-citrus-sinensis,Orange Peel cut 1oz  (Citrus sinensis),"Orange Peel also known as Citrus Sinensis or Sweet Orange. Native to the United States and used in a variety of ways from culinary to decorating. In magic it is a great ingredient in spells involving love, divination, luck and money. 1oz. in cut form with a citrus scent. Store in an airtight container.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Money & Success,Psychic Powers/Development & Divination,Love, Attraction & Relationships,Good Luck, Prosperity & Manifesting,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ORAC,68,shopify,29,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HORAC_Bt.jpg,1,Orange Peel cut 1oz  (Citrus sinensis),FALSE,active
h16paref-parsley-egyptian-flat-1oz,Parsley Egyptian Flat 1oz,"Parsley, a member of the carrot family and most popular herb throughout the world. Originating in the United States this herb has a variety of uses in the culinary world and the cosmetic industry. Fragrant with magical and spiritual properties, carrying the energy of power, prosperity, protection as well as purification. 1oz Leaf flakes to be stored in an airtight container away from sun, humidity, and heat.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Protection & Evil Eye,Money & Success,Good Luck, Prosperity & Manifesting,Focus, Mental Powers & Memory,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16PAREF,45,shopify,36,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/HPAREFB_16.jpg,1,Parsley Egyptian Flat 1oz,FALSE,active
h16patlw-patchouli-leaf-wh-1oz,Patchouli Leaf wh 1oz,"Patchouli Leaf whole also known as Pogostemon Cablin, part of the mint family. Known for its aromatic fragrance and valued for the oil it produces. It is said that by smelling patchouli it will help balance and calm your emotions while uplifting your energy. Patchouli is popular in spell work around fertility, prosperity, grounding, manifesting, peace, and as an aphrodisiac aiding in love spells. 1oz in leaf form",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Money & Success,Healing & Health,Love, Attraction & Relationships,Energy, Power & Motivation,New Beginnings, Rebirth, & Fertility,Sexual Functions, Lust, & Virility,Good Luck, Prosperity & Manifesting,Dreams & Sleep,Peace, Happiness & Relaxation,Focus, Mental Powers & Memory,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16PATLW,90,shopify,121,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HPATLWB.jpg,1,Patchouli Leaf wh 1oz,FALSE,active
h16penc-pennyroyal-leaf-cut-1oz-mentha-pulegium,Pennyroyal Leaf cut 1oz (Mentha pulegium),"Pennyroyal also known as Menth Pulegium, Mosquito Plant, Pudding Grass, or Squaw Mint. Used in Ancient Greece to flavor wines and puddings and early American colonists used this to keep fleas and pest away. In magic it can make a powerful ingredient in strength, protection, and peace spell work. 1oz in cut form with a strong peppermint scent. Store in a sealed container in a cool, dark place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Protection & Evil Eye,Vitality, Strength & Courage,Peace, Happiness & Relaxation,Empower Spells & Sorcery,Ritual Tools,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16PENC,90,shopify,42,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/HPENC_Bt.jpg,1,Pennyroyal Leaf cut 1oz (Mentha pulegium),FALSE,active
h16pepc-peppermint-leaf-cut-1oz-mentha-piperita,Peppermint Leaf cut 1oz (Mentha piperita),"Peppermint Leaf also known as Mentha Piperita and is originally native to Asia and Europe. Used widely to infuse oils for perfumes and cosmetics. In Magic practices it is used in spellwork around healing, purification, psychic power, sleep, healing, love and energy. 1oz in cut form with a minty fresh aroma to be stored in an airtight container in a cool, dark place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Best Sellers,Cleansing & Purification,Healing & Health,Psychic Powers/Development & Divination,Love, Attraction & Relationships,Energy, Power & Motivation,Dreams & Sleep,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16PEPC,90,shopify,129,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HPEPC_B.jpg,1,Peppermint Leaf cut 1oz (Mentha piperita),FALSE,active
h16psyhp-psyllium-hiusks-powder-1oz,Psyllium Hiusks powder 1oz,"Psyllium husks powder also known as Plantago ovata, originating in India. Used as a thickening agent in the food industry because of its fiber content. Helps to provide support for the digestive track. In magical workings it may be used to protect one from evil spirits. 1oz in powder form to be stored in in a cool, dry spot in a tightly sealed container.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs A - M,Protection & Evil Eye,Negativity & Bad Luck,Healing & Health,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16PSYHP,45,shopify,31,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HPSYHPP.jpg,1,Psyllium Hiusks powder 1oz,FALSE,active
h16rasc-raspberry-leaf-cut-1oz-rubus-idaeus,Raspberry Leaf cut 1oz (Rubus idaeus),"Wild Crafted Raspberry Leaf also known as Rubus Idaeus originating in Europe. Used in the culinary field in food preparations and is known for its astringent qualities. In magic it may help with love, enjoyment, tempting others and for divination. Cut form with a pleasant aroma to be stored in an airtight container in a cool, dark place. Wild Crafted",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Psychic Powers/Development & Divination,Love, Attraction & Relationships,Energy, Power & Motivation,Peace, Happiness & Relaxation,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16RASC,68,shopify,65,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HRASC_Bt.jpg,1,Raspberry Leaf cut 1oz (Rubus idaeus),FALSE,active
h16rosmw-rosemary-leaf-whole-1oz-rosmarinus-officinalis,Rosemary Leaf whole 1oz  (Rosmarinus officinalis),"Rosemary Leaf also known as Rosmarinus Officinalis, is a member of the mint family. Widely used in the culinary field in an array of recipes. In magical practices it makes a powerful ingredient for cleansing, purification, love, lust, mental powers, diminishing physical and mental fatigue, exorcism, purification, sleep, vitality, wisdom, protection, negative energy and helps remove crossed conditions or curses. 1oz in whole form with a mild aroma to be stored in a sealed container in a cool, dark place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Best Sellers,Cleansing & Purification,Banishing, Exorcism & Hex Breaking,Protection & Evil Eye,Curses, Crossing & Hexing,Negativity & Bad Luck,Love, Attraction & Relationships,Energy, Power & Motivation,Sexual Functions, Lust, & Virility,Dreams & Sleep,Wisdom & Spiritual Growth,Focus, Mental Powers & Memory,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ROSMW,68,shopify,134,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/HROSMWW.jpg,1,Rosemary Leaf whole 1oz  (Rosmarinus officinalis),FALSE,active
h16rosp-pink-rose-petals-1oz-rosa-gallica,Pink Rose Petals 1oz  (Rosa gallica),"Rose Petals, pink also known as Rosa Canina or Dog Rose. Used since the Roman times when they used it in celebration of special events and to worship the Gods. In magical practices in several different spells around love, psychic powers, supports change, healing, divination, luck and protection. 1oz with a floral scent to be kept in a sealed container away from direct heat, light, and humidity.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Best Sellers,Protection & Evil Eye,Healing & Health,Psychic Powers/Development & Divination,Love, Attraction & Relationships,Good Luck, Prosperity & Manifesting,Blocks, Obstacles & Change,Wisdom & Spiritual Growth,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ROSP,90,shopify,102,deny,manual,6.44,,TRUE,TRUE,,https://www.azuregreen.net/images/HROSP.jpg,1,Pink Rose Petals 1oz  (Rosa gallica),FALSE,active
h16rosrw-rose-red-buds-petals-1oz-rosa-centifolia,Rose Red Buds & Petals 1oz  (Rosa centifolia),"Red Rose Buds &amp; Petals also known as Rosa Canina. Used widely in the culinary field as well as in lotions, colognes and perfumes for its wonderful smell. In magic it may assist you with spellwork involving, love, beauty, supports change, harmony, divination and Goddess rites. 1oz. with a mild rose aroma to be stored in a sealed container in a cool, dark place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Best Sellers,Psychic Powers/Development & Divination,Love, Attraction & Relationships,Peace, Happiness & Relaxation,Blocks, Obstacles & Change,Wisdom & Spiritual Growth,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ROSRW,136,shopify,350,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HROSRW_T.jpg,1,Rose Red Buds & Petals 1oz  (Rosa centifolia),FALSE,active
h16rossc-rose-hips-whole-1oz-rosa-canina,Rose Hips whole 1oz  (Rosa canina),"Rose Hips whole also known as Rosa Canina originating in Chile. The fruit of the rose bush also called haw. Used historically in the culinary field due to its richness vitamins and iron. In magical practices it is used to call in good spirits and for good luck. 1oz in whole berry form with a pleasant scent. Store in an airtight container in a cool, dry place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Best Sellers,Psychic Powers/Development & Divination,Good Luck, Prosperity & Manifesting,Blocks, Obstacles & Change,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16ROSSC,45,shopify,188,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/HROSSC_Bt.jpg,1,Rose Hips whole 1oz  (Rosa canina),FALSE,active
h16sagw-sage-leaf-cut-1oz-salvia-officinales,Sage Leaf cut 1oz (Salvia officinales),"Sage leaf also known as Salvia Officinalis. Has been used historically for its many medicinal properties. In magic and spiritual work it is a staple for cleansing of energy on you and your environment. Smudging with sage will help connect to the spiritual realm and may help enhance intuition. Powerful herb for protection, healing and wisdom. 1oz in cut form to be stored in a sealed container away from direct light and humidity.",AzureGreen,Metaphysical Supplies,"All Smudge Sticks & Burning Accessories,1618 Gold Herb 1oz packs N - Z,Loose Sage & Palo Santo Products,Loose Sage & Liquid Smudges,Protection & Evil Eye,Negativity & Bad Luck,Healing & Health,Psychic Powers/Development & Divination,Wisdom & Spiritual Growth,Sacred Smoke,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16SAGW,136,shopify,49,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/HSAGWBBB.jpg,1,Sage Leaf cut 1oz (Salvia officinales),FALSE,active
h16salp-saltpetre-powder-1oz,Saltpetre powder 1oz,"Keep your partner faithful and ward off negative energies with our high-quality Saltpetre. This versatile product is a must-have for women who want to maintain a strong and loving relationship, as well as for those who seek spiritual protection and purification. Whether you're looking to strengthen your bond with your partner or cleanse your home of negative influences, Saltpetre is the perfect solution for all your needs. 1oz",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Best Sellers,Salts,Salts & Ritual Rice,Cleansing & Purification,Banishing, Exorcism & Hex Breaking,Love, Attraction & Relationships,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16SALP,45,shopify,32,deny,manual,3.84,,TRUE,TRUE,,https://www.azuregreen.net/images/HSALP_B.JPG,1,Saltpetre powder 1oz,FALSE,active
h16sanrp-sandalwood-powder-red-1oz-pterocarpus-santalinus,Sandalwood powder red 1oz (Pterocarpus santalinus),"Sandalwood also known as Pterocarpu Santalinus are obtained from the Sandalwood tree. The oil that is produced from the sandalwood tree was considered sacred and holy by the Egyptians as well as in the Hindu religion. Used in personal care items and is an important component in Ayurveda. In magic practices around love, protection, healing, spirituality, and cleansing. 1oz. in powder form to be stored in a sealed container away from direct light and heat.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Cleansing & Purification,Protection & Evil Eye,Healing & Health,Love, Attraction & Relationships,Wisdom & Spiritual Growth,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16SANRP,68,shopify,24,deny,manual,6.44,,TRUE,TRUE,,https://www.azuregreen.net/images/HSANRP_Bt.jpg,1,Sandalwood powder red 1oz (Pterocarpus santalinus),FALSE,active
h16sanyp-sandalwood-powder-yellow-1oz-santalum,Sandalwood powder Yellow 1oz (Santalum),"Yellow Sandalwood Powder also known as Santalum are obtained from the Sandalwood tree. The oil that is produced from the sandalwood tree was considered sacred and holy by the Egyptians as well as in the Hindu religion. Used in personal care items and is an important component in Ayurveda. In magic practices around love, protection, healing, spirituality, and cleansing. 1oz in powder form to be stored in a sealed container away from direct light and heat.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Cleansing & Purification,Protection & Evil Eye,Healing & Health,Love, Attraction & Relationships,Wisdom & Spiritual Growth,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16SANYP,45,shopify,55,deny,manual,9.04,,TRUE,TRUE,,https://www.azuregreen.net/images/HSANYP.jpg,1,Sandalwood powder Yellow 1oz (Santalum),FALSE,active
h16sarrc-sarsaparilla-root-cut-1oz,Sarsaparilla Root cut 1oz,"Sarsaparilla Root also known as Hemidesmus Indicus, originating in India. This is a member of the dogbane family in is widely used in Ayurveda. Magical uses of this herb include money drawing work, house blessing, and to arouse sexual passion. In cut form to be stored in an airtight container away from heat and light. 1oz.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Money & Success,Healing & Health,New Beginnings, Rebirth, & Fertility,Sexual Functions, Lust, & Virility,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16SARRC,45,shopify,0,deny,manual,5.14,,TRUE,TRUE,,https://www.azuregreen.net/images/H_16_HSARRC_B.jpg,1,Sarsaparilla Root cut 1oz,FALSE,active
h16scuc-scullcap-cut-1oz-scutellaria-laterifolia,Scullcap cut 1oz (Scutellaria laterifolia),"Scullcap also known as Scutellaria Laterifolia and Blue Skullcap. Named because it was resembling the metal helmets worn by Medieval Soldiers. Used now mainly to create topical ointments and other medicinal creations. Magical uses include relaxation, peace, binding oaths, consecrating vows and commitments, stress, tension, nightmares, and worn by women to keep their husbands faithful. 1oz Organic in cut form to sealed in a container in a cool, dry place.",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Love, Attraction & Relationships,New Beginnings, Rebirth, & Fertility,Dreams & Sleep,Peace, Happiness & Relaxation,Blocks, Obstacles & Change,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16SCUC,90,shopify,73,deny,manual,12.93,,TRUE,TRUE,,https://www.azuregreen.net/images/HSCUC_Bt.jpg,1,Scullcap cut 1oz (Scutellaria laterifolia),FALSE,active
h16seac-sea-salt-coarse-1oz,Sea Salt coarse 1oz,"Harness the power of Sea Salt for your protective magic rituals with our high-quality product. Perfect for cleansing and purifying crystals and scrying mirrors, our Sea Salt comes in varying granule sizes from 1/6"" to 1/4"" by batch. Whether you are a seasoned practitioner or just starting out, our Sea Salt is a must-have tool for your magical practices. 1oz",AzureGreen,Metaphysical Supplies,"1618 Gold Herb 1oz packs N - Z,Salts,Salts & Ritual Rice,Cleansing & Purification,Youth & Beauty,Alchemical Botanicals,The Way to Resonance",TRUE,Title,Default Title,H16SEAC,45,shopify,92,deny,manual,2.54,,TRUE,TRUE,,https://www.azuregreen.net/images/HSEAC_Bt.jpg,1,Sea Salt coarse 1oz,FALSE,active
